ID,Date,Species,Sex,Age,Capture_Type,Plot,Night,Azimut,Station,Trap,Weight_g,Body_Length_mm,Tail_Length_mm,Hind_Foot_Length_mm
2017-275,6/22/2017,S. monticolus,U,J,D,31,3,60,3,Pitfall,4.4,97.2,51.8,11.6
2017-276,6/22/2017,S. cinereus,U,J,D,31,3,60,3,Pitfall,3.3,87.5,40.9,11.7
2017-277,6/22/2017,S. monticolus,F,A,D,31,3,60,4,Sherman,4.9,113.8,46.6,12.8
2017-278,6/22/2017,S. cinereus,F,A,D,31,3,180,1,Sherman,4,82.9,38.6,11.5
2017-279,6/22/2017,S. cinereus,U,J,D,31,3,180,2,Sherman,3,83.2,39.5,11.3
2017-280,6/22/2017,S. cinereus,U,J,D,31,3,180,2,Pitfall,3.3,88.6,40.6,12.7
2017-281,6/22/2017,S. monticolus,U,J,D,31,3,180,3,Victor,3.2,86.1,36.1,10.2
2017-282,6/22/2017,S. cinereus,M,A,D,31,3,180,3,Pitfall,5.7,87.5,37.1,11.5
2017-283,6/22/2017,S. monticolus,F,A,D,31,3,180,4,Victor,7,111.1,47.6,11.9
2017-284,6/22/2017,S. cinereus,U,J,D,31,3,180,5,Pitfall,3.5,86.4,38.1,11.6
2017-285,6/22/2017,M. rutilus,M,A,L,31,3,180,6,Sherman,21,102,26,18
2017-286,6/22/2017,M. rutilus,M,SA,D,31,3,180,10,Victor,14.3,107.1,27.3,16.4
2017-287,6/22/2017,S. cinereus,U,J,D,31,3,180,10,Pitfall,3.7,90.3,40.5,11.5
2017-288,6/22/2017,S. cinereus,U,J,D,31,3,180,10,Pitfall,4,89.4,40.1,12.5
2017-289,6/22/2017,S. cinereus,U,J,D,31,3,300,1,Pitfall,3.1,90.8,40.2,11.2
2017-290,6/22/2017,S. cinereus,U,J,D,31,3,300,1,Pitfall,5.1,91.9,44.8,11.1
2017-291,6/22/2017,S. cinereus,U,J,D,31,3,300,1,Pitfall,3.9,83.9,37,10.7
2017-292,6/22/2017,S. cinereus,U,J,D,31,3,300,2,Victor,3.6,95.4,40.8,11.5
2017-293,6/22/2017,S. cinereus,U,J,D,31,3,300,3,Sherman,2.9,72.8,30.2,10
2017-295,6/22/2017,S. cinereus,M,A,D,31,3,300,6,Pitfall,5.2,90.8,37.9,10.7
2017-296,6/27/2017,M. rutilus,M,A,L,57,1,60,1,Sherman,22,115.7,30.9,16.2
2017-297,6/27/2017,S. cinereus,U,J,D,57,1,180,4,Victor,3.2,85.8,34.3,11.2
2017-298,6/27/2017,S. cinereus,U,J,D,57,1,180,6,Victor,3.8,92.5,40.6,10.2
2017-299,6/27/2017,S. cinereus,U,J,D,57,1,180,7,Victor,2.2,92.2,40.4,10.9
2017-300,6/27/2017,S. cinereus,F,A,D,57,1,300,1,Victor,6.7,98.7,37.7,10.1
2017-301,6/27/2017,S. cinereus,U,J,D,57,1,300,4,Victor,5.3,85.7,38.9,10.3
2017-302,6/27/2017,S. cinereus,U,J,D,57,1,300,5,Victor,3.6,93.5,38.1,11.1
2017-303,6/27/2017,S. cinereus,U,J,D,57,1,300,6,Victor,3.7,87.3,40.3,11.3
2017-304,6/27/2017,S. cinereus,U,J,D,57,1,300,9,Pitfall,3,87.3,37.7,10.8
2017-305,6/28/2017,S. cinereus,U,J,D,57,2,60,6,Sherman,2.9,87.2,40.7,11.2
2017-306,6/28/2017,S. monticolus,U,J,D,57,2,60,7,Victor,6.1,100.5,45.8,12.8
2017-307,6/28/2017,M. rutilus,M,SA,L,57,2,180,4,Sherman,21,111.8,32.9,17.9
2017-308,6/28/2017,S. cinereus,U,J,D,57,2,180,7,Pitfall,3.7,90.4,40.2,10
2017-309,6/28/2017,S. cinereus,U,J,D,57,2,180,9,Victor,3.7,93.8,39,11.1
2017-310,6/28/2017,S. cinereus,U,J,D,57,2,300,2,Sherman,3.6,92.1,41.3,11.3
2017-311,6/28/2017,S. cinereus,M,A,D,57,2,300,5,Pitfall,5.1,92.1,40.7,10.4
2017-312,6/28/2017,S. cinereus,U,J,D,57,2,300,5,Pitfall,3.8,89.4,38.1,11.6
2017-313,6/28/2017,M. rutilus,F,J,D,57,2,300,7,Sherman,11.9,102.5,27,15.5
2017-314,6/28/2017,M. rutilus,M,SA,L,57,2,300,9,Sherman,20,104.1,30.3,15.1
2017-315,6/29/2017,S. cinereus,U,J,D,57,3,60,4,Victor,3.7,90.7,35.2,10.8
2017-316,6/29/2017,S. monticolus,U,J,D,57,3,60,4,Sherman,5.1,107,43.6,12.6
2017-317,6/29/2017,S. cinereus,U,J,D,57,3,60,5,Victor,3.6,90.2,38,10.4
2017-318,6/29/2017,S. cinereus,U,J,D,57,3,60,6,Sherman,3.2,82.4,36.7,11.3
2017-319,6/29/2017,S. cinereus,U,J,D,57,3,60,10,Sherman,3.3,91.4,36.9,10.5
2017-320,6/29/2017,M. rutilus,M,SA,L,57,3,180,4,Sherman,18,109.8,27,16.2
2017-321,6/29/2017,S. cinereus,F,A,D,57,3,180,7,Victor,5.5,92.4,37,10.1
2017-322,6/29/2017,S. cinereus,M,A,D,57,3,300,4,Victor,5.3,92.6,36.7,11.1
2017-323,6/29/2017,S. cinereus,U,J,D,57,3,300,5,Victor,3.4,84.6,39.8,10.4
2017-324,6/29/2017,M. rutilus,M,A,D,57,3,300,6,Victor,20.3,106.4,30.3,17
2017-325,6/27/2017,M. rutilus,M,A,D,69,1,60,5,Victor,17.2,105.3,24.8,15
2017-326,6/27/2017,M. rutilus,F,A,D,69,1,60,7,Victor,26.5,123.9,30.2,17.9
2017-327,6/27/2017,M. rutilus,M,A,L,69,1,60,8,Sherman,21,109.9,26.3,16.3
2017-328,6/27/2017,S. monticolus,U,U,D,69,1,60,9,Victor,6.4,110.1,47.8,12.4
2017-329,6/27/2017,S. cinereus,U,J,D,69,1,60,9,Pitfall,3.5,91.9,40.2,9
2017-330,6/27/2017,S. cinereus,U,J,D,69,1,60,9,Pitfall,2.9,89.9,41.7,10.6
2017-331,6/27/2017,S. cinereus,U,J,D,69,1,60,9,Pitfall,3.7,82.6,39.6,10
2017-332,6/27/2017,M. rutilus,F,A,L,69,1,60,10,Sherman,29,117.9,32.8,16.5
2017-333,6/27/2017,S. cinereus,U,J,D,69,1,180,2,Victor,3.7,89.7,39.8,11.5
2017-334,6/27/2017,M. rutilus,M,A,D,69,1,180,4,Sherman,18.3,96.9,29.6,17.6
2017-335,6/27/2017,S. cinereus,U,J,D,69,1,180,6,Victor,3.7,89.4,36,10.6
2017-336,6/27/2017,S. cinereus,U,J,D,69,1,180,7,Pitfall,2.6,79.5,35.4,10.5
2017-337,6/27/2017,S. cinereus,U,J,D,69,1,180,7,Pitfall,3.2,84.4,38.2,10.5
2017-338,6/27/2017,S. cinereus,U,J,D,69,1,180,9,Victor,3.6,85.7,40.5,11.2
2017-339,6/27/2017,M. rutilus,F,A,L,69,1,180,10,Sherman,26,103.6,32.1,17.3
2017-340,6/27/2017,S. cinereus,U,J,D,69,1,300,1,Victor,3.4,90.9,41.2,11.2
2017-341,6/27/2017,M. rutilus,F,A,L,69,1,300,6,Sherman,19,107.1,31.2,17.7
2017-342,6/27/2017,S. cinereus,U,J,D,69,1,300,8,Victor,3.5,87.1,37.5,10.8
2017-343,6/27/2017,S. cinereus,U,J,D,69,1,300,8,Sherman,3.1,87.9,40.8,10.2
2017-344,6/27/2017,S. cinereus,U,J,D,69,1,300,9,Victor,3.5,89.7,40.5,10.2
2017-345,6/27/2017,M. rutilus,F,J,L,69,1,300,9,Sherman,16,97.8,29.7,16.4
2017-346,6/27/2017,M. rutilus,M,A,L,69,1,300,10,Sherman,18,97.1,27.8,17.6
2017-347,6/28/2017,M. rutilus,F,A,L,69,2,60,1,Sherman,20,105.5,32.6,17.7
2017-348,6/28/2017,M. rutilus,M,SA,L,69,2,60,3,Sherman,22,120.2,30.6,15.9
2017-349,6/28/2017,S. cinereus,U,J,D,69,2,60,3,Pitfall,3.5,83.5,36.6,10.9
2017-350,6/28/2017,S. cinereus,U,J,D,69,2,60,5,Pitfall,3.6,88,39.2,11.4
2017-351,6/28/2017,M. rutilus,M,A,D,69,2,60,8,Victor,23.7,100,30.8,16.5
2017-352,6/28/2017,S. monticolus,U,J,D,69,2,60,9,Sherman,6.3,107.3,48,13.2
2017-353,6/28/2017,S. cinereus,U,U,D,69,2,180,1,Pitfall,3.7,91.9,37.6,10.3
2017-354,6/28/2017,S. cinereus,U,J,D,69,2,180,1,Pitfall,4.4,82.6,39.2,11.8
2017-355,6/28/2017,S. cinereus,U,U,D,69,2,180,2,Pitfall,5.9,90.8,39.4,12.1
2017-356,6/28/2017,S. cinereus,U,J,D,69,2,180,2,Pitfall,5.6,91.2,37.5,10.3
2017-357,6/28/2017,S. cinereus,U,J,D,69,2,180,2,Pitfall,4.2,85.6,39.4,10.8
2017-358,6/28/2017,S. cinereus,U,J,D,69,2,180,2,Pitfall,5.9,94.9,40.4,10.2
2017-359,6/28/2017,S. cinereus,M,A,D,69,2,180,3,Pitfall,3.6,84.5,38.8,12.6
2017-360,6/28/2017,S. cinereus,U,J,D,69,2,180,4,Pitfall,3.8,86.2,40,11.4
2017-361,6/28/2017,S. cinereus,U,J,D,69,2,180,4,Pitfall,4,86.9,42.9,9.3
2017-363,6/28/2017,S. cinereus,U,J,D,69,2,180,10,Sherman,3.3,92.2,39.7,11.2
2017-364,6/28/2017,S. cinereus,U,J,D,69,2,300,4,Victor,3.5,91.7,41.1,11.4
2017-365,6/28/2017,M. rutilus,M,SA,L,69,2,300,4,Sherman,14,96.7,27.8,16.2
2017-366,6/28/2017,S. cinereus,U,J,D,69,2,300,6,Victor,3.6,92.5,41.7,11.1
2017-367,6/28/2017,S. cinereus,U,J,D,69,2,300,6,Pitfall,3.7,88.1,40.7,11.9
2017-368,6/28/2017,S. cinereus,U,J,D,69,2,300,6,Pitfall,3.9,86.4,40,11.2
2017-369,6/28/2017,M. rutilus,F,A,D,69,2,300,7,Victor,18.9,113.5,31.2,16.8
2017-370,6/28/2017,M. rutilus,M,A,D,69,2,300,8,Victor,17.3,108.1,30.1,17.1
2017-371,6/28/2017,M. rutilus,M,SA,L,69,2,300,8,Sherman,17,100,30.4,17.6
2017-372,6/28/2017,M. rutilus,M,SA,L,69,2,300,9,Sherman,18,109.6,32.7,17.7
2017-373,6/29/2017,S. cinereus,F,A,D,69,3,60,6,Sherman,5.8,103.9,41,10.6
2017-374,6/29/2017,S. cinereus,U,J,D,69,3,60,7,Victor,3.7,87.7,41.1,11.5
2017-375,6/29/2017,S. cinereus,U,J,D,69,3,180,3,Pitfall,3,80.1,35.5,10.5
2017-376,6/29/2017,S. cinereus,M,A,D,69,3,180,6,Pitfall,5.6,90.7,40.7,11.5
2017-377,6/29/2017,M. rutilus,F,J,L,69,3,180,9,Sherman,10,92.2,26.2,16.5
2017-378,6/29/2017,M. rutilus,M,A,D,69,3,180,10,Victor,25.9,119.8,31.1,16.2
2017-379,6/29/2017,S. cinereus,U,J,D,69,3,180,10,Pitfall,4.7,82.1,36.7,10
2017-380,6/29/2017,S. cinereus,U,J,D,69,3,300,4,Pitfall,4.1,90.3,40.6,10.6
2017-381,6/29/2017,M. rutilus,M,A,D,69,3,300,6,Victor,28.5,113.3,30.6,15.3
2017-382,6/29/2017,S. cinereus,U,J,D,69,3,300,6,Pitfall,3.5,78.9,39,11
2017-383,6/29/2017,S. cinereus,U,J,D,69,3,300,7,Victor,3.7,89.6,36.3,11.4
2017-384,6/29/2017,S. cinereus,U,J,D,69,3,300,8,Victor,3.2,84,39,10
2017-385,6/29/2017,M. rutilus,M,A,L,69,3,300,9,Sherman,17,94.7,20.7,17.6
2017-386,6/29/2017,S. cinereus,F,A,D,69,3,300,10,Sherman,5.2,105.7,41.4,12
2017-387,6/29/2017,S. cinereus,M,A,D,69,3,300,10,Pitfall,4.6,86,41.1,9.6
2017-388,6/20/2017,S. cinereus,U,J,D,22,1,180,3,Sherman,3.1,82.9,37.3,10.4
2017-389,7/5/2017,M. rutilus,F,A,L,34,1,60,3,Sherman,31,121.7,38.9,13.9
2017-390,7/5/2017,M. pennsalyvacius,F,A,D,34,1,60,3,Victor,28.3,127.2,30,15.1
2017-391,7/5/2017,S. monticolus,F,A,D,34,1,60,4,Sherman,6,108,47.5,11.9
2017-392,7/5/2017,S. cinereus,U,J,D,34,1,60,5,Sherman,3.1,88.1,35.8,10.8
2017-393,7/5/2017,M. pennsalyvacius,F,A,D,34,1,60,6,Victor,37.4,132.6,34.3,16.9
2017-394,7/5/2017,M. pennsalyvacius,M,J,L,34,1,60,6,Sherman,11,87.5,25.9,14.5
2017-395,7/5/2017,M. pennsalyvacius,M,SA,D,34,1,60,7,Victor,12.8,95.2,15.7,13.8
2017-396,7/5/2017,M. pennsalyvacius,M ,SA,D,34,1,60,8,Victor,13.5,94.5,20.5,15.3
2017-397,7/5/2017,M. pennsalyvacius,U,U,D,34,1,60,9,Victor,16.4,102.7,28.5,16.6
2017-398,7/5/2017,M. pennsalyvacius,M,SA,D,34,1,60,10,Victor,30.2,132.6,31.5,15.2
2017-399,7/5/2017,M. rutilus,M,J,L,34,1,60,10,Sherman,15,96.7,26.5,16.4
2017-400,7/5/2017,M. pennsalyvacius,F,A,D,34,1,60,10,Victor,30.5,123,28.5,16.7
2017-401,7/5/2017,M. pennsalyvacius,M,J,D,34,1,180,1,Victor,20.3,119.4,27.9,16.1
2017-402,7/5/2017,M. pennsalyvacius,M,J,D,34,1,180,2,Sherman,10.1,87.4,28.5,13.9
2017-403,7/5/2017,M. rutilus,F,J,L,34,1,180,5,Sherman,21,115,30.5,13.4
2017-404,7/5/2017,M. pennsalyvacius,F,A,L,34,1,300,5,Sherman,33,119.6,40.7,16.5
2017-405,7/5/2017,M. pennsalyvacius,M,A,D,34,1,300,6,Victor,37.8,140.1,35.1,17.5
2017-406,7/5/2017,M. pennsalyvacius,F,A,D,34,1,300,6,Victor,52.9,153,34.2,18
2017-407,7/5/2017,M. pennsalyvacius,M,J,L,34,1,300,6,Sherman,16,104.8,33,16.3
2017-408,7/5/2017,M. pennsalyvacius,F,J,L,34,1,300,7,Victor,22,103.5,27.5,16.5
2017-409,7/5/2017,M. pennsalyvacius,M,A,L,34,1,300,9,Sherman,30,126.7,37.5,17.5
2017-410,7/5/2017,M. pennsalyvacius,M,A,D,34,1,180,10,Victor,23.4,118.3,29.7,17
2017-411,7/6/2017,M. pennsalyvacius,F,A,D,34,2,60,1,Victor,40,147.6,40,15.3
2017-412,7/6/2017,M. pennsalyvacius,F,A,D,34,2,60,2,Victor,31.9,138.5,40,15.9
2017-413,7/6/2017,M. pennsalyvacius,M,SA,L,34,2,60,2,Sherman,18,115.1,34.3,17.7
2017-414,7/6/2017,M. pennsalyvacius,M,A,L,34,2,60,3,Victor,46,130,40,20
2017-415,7/6/2017,M. pennsalyvacius,M,J,L,34,2,60,4,Sherman,14,98.4,31.5,16.4
2017-416,7/6/2017,M. pennsalyvacius,F,A,L,34,2,60,5,Sherman,26,140,40.1,20.2
2017-417,7/6/2017,M. pennsalyvacius,F,A,D,34,2,60,6,Victor,16.7,114.9,34.5,15.6
2017-418,7/6/2017,M. pennsalyvacius,M,J,D,34,2,60,7,Victor,15,103.4,30.2,15.8
2017-419,7/6/2017,M. pennsalyvacius,M,J,D,34,2,60,7,Victor,13.8,105.5,27,16.4
2017-420,7/6/2017,M. pennsalyvacius,F,A,L,34,2,60,8,Sherman,33,120.4,37.8,17.8
2017-421,7/6/2017,M. pennsalyvacius,F,A,D,34,2,60,9,Victor,35.5,140,33.7,16.8
2017-422,7/6/2017,M. rutilus,M,J,L,34,2,60,10,Sherman,15,107,26.4,17.7
2017-423,7/6/2017,M. pennsalyvacius,M,SA,D,34,2,180,1,Victor,20.5,119.4,32.3,15.3
2017-424,7/6/2017,M. pennsalyvacius,M,A,D,34,2,180,1,Victor,22.3,125.1,29.8,15.9
2017-425,7/6/2017,M. pennsalyvacius,M,J,D,34,2,180,1,Sherman,13,106.4,35.6,16
2017-426,7/6/2017,M. pennsalyvacius,F,A,D,34,2,180,2,Victor,31.1,141.2,36.2,16
2017-427,7/6/2017,M. pennsalyvacius,M,J,L,34,2,180,3,Sherman,14,101.6,28.8,17.6
2017-428,7/6/2017,S. cinereus,F,A,D,34,2,180,7,Victor,5.2,89.3,34.9,10.7
2017-429,7/6/2017,S. cinereus,F,A,D,34,2,180,8,Victor,3.7,87.6,38,10.6
2017-430,7/6/2017,M. pennsalyvacius,F,A,D,34,2,180,10,Victor,39.3,144.9,35.3,16.5
2017-431,7/6/2017,M. pennsalyvacius,M,A,D,34,2,300,4,Victor,17.2,111.3,31.8,15.2
2017-432,7/6/2017,M. pennsalyvacius,M,J,L,34,2,300,4,Sherman,7,94.7,30,15.6
2017-433,7/6/2017,S. cinereus,F,A,D,34,2,300,6,Sherman,6.4,94.2,37.5,10
2017-434,7/6/2017,M. pennsalyvacius,F,A,D,34,2,300,7,Victor,25.6,126.2,34.1,16.3
2017-435,7/6/2017,M. pennsalyvacius,F,A,L,34,2,300,8,Sherman,37,122.8,42.5,16.3
2017-436,7/6/2017,M. rutilus,M,A,L,34,2,300,9,Sherman,26,106.6,32.4,18
2017-437,6/22/2017,S. cinereus,U,J,D,22,3,300,7,Pitfall,4.1,89.7,38.3,10.9
2017-438,6/22/2017,S. cinereus,F,A,D,22,3,,,Sherman,5.8,102.3,37.9,11.4
2017-439,7/7/2017,M. pennsalyvacius,M,J,D,34,3,60,1,Victor,11.2,98.8,26.8,14.7
2017-440,7/7/2017,M. pennsalyvacius,F,A,D,34,3,60,2,Sherman,46.7,151.2,43.4,17.1
2017-441,7/7/2017,M. pennsalyvacius,M,A,D,34,3,60,3,Victor,38,150.9,40.2,16.4
2017-442,7/7/2017,S. cinereus,U,J,D,34,3,60,4,Sherman,3.2,85.6,40.1,11.5
2017-444,7/7/2017,M. pennsalyvacius,M,SA,L,34,3,60,6,Sherman,22,109.8,41.2,17.6
2017-445,7/7/2017,M. pennsalyvacius,U,U,D,34,3,60,7,Victor,13.1,121.9,32.9,15.1
2017-446,7/7/2017,M. pennsalyvacius,F,A,D,34,3,60,7,Victor,44.3,146.3,38,16.3
2017-447,7/7/2017,M. pennsalyvacius,M,J,L,34,3,60,8,Sherman,15,93.8,27.6,16.4
2017-448,7/7/2017,M. rutilus,M,A,D,34,3,60,8,Victor,23.5,122.9,31.4,17.2
2017-449,7/7/2017,M. pennsalyvacius,U,U,D,34,3,60,10,Victor,13.7,106.5,32.5,16.3
2017-450,7/7/2017,M. pennsalyvacius,M,J,D,34,3,60,10,Victor,19.7,110.7,30.2,16.4
2017-451,7/7/2017,M. pennsalyvacius,M,A,L,34,3,180,1,Victor,35,138.2,31.9,17.7
2017-452,7/7/2017,M. pennsalyvacius,F,A,D,34,3,180,1,Victor,34.8,137.4,38.1,16.4
2017-453,7/7/2017,M. pennsalyvacius,F,J,D,34,3,180,3,Victor,15.2,103.6,33.8,15.9
2017-454,7/7/2017,M. pennsalyvacius,M,J,D,34,3,180,3,Victor,18.4,110.8,33,16.5
2017-455,7/7/2017,S. cinereus,U,J,D,34,3,180,7,Victor,2.9,90.5,41.8,10.8
2017-457,7/7/2017,M. pennsalyvacius,F,A,D,34,3,300,2,Sherman,37.4,142.9,40.8,16.2
2017-458,7/7/2017,M. pennsalyvacius,F,A,D,34,3,300,3,Victor,27.7,134.9,33,17.2
2017-459,7/7/2017,M. pennsalyvacius,M,J,D,34,3,300,4,Victor,10.6,90.2,25.4,15.8
2017-460,7/7/2017,M. rutilus,M,A,D,34,3,300,6,Victor,27.9,126,32.8,16.4
2017-461,7/7/2017,M. pennsalyvacius,F,A,D,34,3,300,7,Victor,25.4,123.1,36,16.3
2017-462,7/7/2017,M. pennsalyvacius,F,A,D,34,3,300,9,Victor,29,123.5,36.2,16.7
2017-463,6/20/2017,S. cinereus,U,J,D,31,1,180,9,Pitfall,3.9,80.9,38.8,10.7
2017-464,6/20/2017,S. cinereus,U,J,D,22,1,180,9,Pitfall,3.3,81.1,39.5,10
2017-465,6/21/2017,S. cinereus,U,J,D,31,2,180,1,Victor,3.5,90.8,39.7,10.1
2017-466,7/7/2017,M. pennsalyvacius,M,A,D,34,3,60,9,Victor,28.8,122.9,29,16.9
2017-467,7/11/2017,M. rutilus,F,J,L,84,1,60,1,Sherman,13,103.4,30.4,15.8
2017-468,7/11/2017,M. rutilus,M,J,L,84,1,60,2,Sherman,22,91.9,28.9,15.6
2017-470,7/11/2017,M. rutilus,M,J,L,84,1,60,4,Sherman,14,91.9,31.2,16.3
2017-471,7/11/2017,S. cinereus,U,J,D,84,1,60,4,Pitfall,3,82.5,3632,10.4
2017-472,7/11/2017,M. rutilus,F,J,L,84,1,60,5,Sherman,24,100,29.7,16.3
2017-473,7/11/2017,M. rutilus,M,J,D,84,1,60,6,Victor,14.7,109.5,30.8,17.3
2017-474,7/11/2017,M. rutilus,U,U,D,84,1,60,6,Sherman,4,104.1,30.8,15.6
2017-475,7/11/2017,S. cinereus,U,J,D,84,1,60,7,Victor,3.4,88.2,39.3,11.3
2017-476,7/11/2017,S. cinereus,U,J,D,84,1,60,7,Pitfall,2.9,89.8,37.2,10
2017-477,7/11/2017,M. rutilus,U,J,D,84,1,60,8,Sherman,14.1,101.5,31.8,16.3
2017-478,7/11/2017,S. cinereus,U,J,D,84,1,60,8,Pitfall,1.7,92.5,35.3,10.1
2017-479,7/11/2017,S. cinereus,U,J,L,84,1,60,8,Pitfall,4,89.2,40.6,10.1
2017-480,7/11/2017,M. rutilus,M,J,D,84,1,60,9,Sherman,10.8,98.8,28.1,15.8
2017-481,7/11/2017,M. rutilus,U,U,D,84,1,60,10,Victor,4.2,116.5,30.6,16.3
2017-482,7/11/2017,M. rutilus,M,J,L,84,1,60,10,Sherman,24,102.2,31.5,16.5
2017-483,7/11/2017,M. rutilus,M,J,D,84,1,180,1,Victor,13.5,100.3,27.6,16.9
2017-484,7/11/2017,M. rutilus,M,J,L,84,1,180,1,Sherman,22,93.5,24.2,16.5
2017-485,7/11/2017,S. cinereus,U,J,D,84,1,180,2,Sherman,3,85.5,39.6,11.2
2017-486,7/11/2017,M. rutilus,F,A,D,84,1,180,3,Victor,32.1,131.2,31.2,16.5
2017-487,7/11/2017,M. rutilus,F,A,D,84,1,180,4,Victor,31.5,135.4,35.2,16.2
2017-488,7/11/2017,M. rutilus,M,J,L,84,1,180,4,Sherman,15,84.6,27.8,16.3
2017-489,7/11/2017,M. rutilus,M,J,L,84,1,180,5,Sherman,24,97,29.2,16.3
2017-490,7/11/2017,M. rutilus,F,J,D,84,1,180,8,Victor,14.1,102.7,22,15
2017-491,7/11/2017,S. monticolus,U,J,D,84,1,180,10,Victor,5.3,110.3,49.3,12.7
2017-492,7/11/2017,S. cinereus,F,A,D,84,1,300,1,Pitfall,4.3,89.2,40.6,11.4
2017-493,7/11/2017,S. cinereus,U,J,D,84,1,300,2,Victor,3.4,89.9,39.3,10
2017-494,7/11/2017,M. rutilus,F,A,D,84,1,300,2,Sherman,23.4,120,33.8,16.6
2017-495,7/11/2017,S. cinereus,U,J,D,84,1,300,3,Pitfall,2.9,86.7,39.3,11.1
2017-496,7/11/2017,M. rutilus,M,J,D,84,1,300,5,Sherman,17,107.5,27.3,16.4
2017-497,7/11/2017,M. rutilus,F,J,D,84,1,300,5,Victor,12.4,99.7,30,15.4
2017-498,7/11/2017,M. rutilus,M,J,D,84,1,300,6,Sherman,14.5,104.6,29.7,16.7
2017-499,7/11/2017,M. rutilus,F,J,D,84,1,300,7,Sherman,14.8,105.4,31.5,15
2017-500,7/11/2017,M. rutilus,F,A,L,84,1,300,8,Sherman,22,97.1,15.9,16.5
2017-501,7/11/2017,M. rutilus,F,J,L,84,1,300,9,Sherman,10,83.5,27.8,16.5
2017-502,7/11/2017,M. rutilus,M,J,D,84,1,300,10,Victor,10.2,95.8,24.1,15.7
2017-503,7/12/2017,S. monticolus,U,J,D,84,2,60,5,Victor,5.7,105.7,46.9,12.6
2017-504,7/12/2017,M. rutilus,M,A,D,84,2,60,7,Victor,17.2,109.7,26.4,17.8
2017-505,7/12/2017,S. cinereus,U,J,D,84,2,60,8,Victor,3.4,95,44.6,10.3
2017-506,7/12/2017,S. cinereus,U,J,D,84,2,60,8,Sherman,3.1,85.1,39.9,10.8
2017-507,7/12/2017,M. rutilus,F,J,L,84,2,60,9,Sherman,9,83.7,25.5,16.1
2017-508,7/12/2017,M. rutilus,M,J,L,84,2,60,9,Sherman,9,83.7,24.7,15.2
2017-509,7/12/2017,M. rutilus,M,J,L,84,2,60,10,Sherman,12,103.5,28.9,16.1
2017-511,7/12/2017,M. rutilus,M,SA,D,84,2,300,2,Victor,15.1,103.6,26.1,14.1
2017-512,7/12/2017,M. rutilus,M,J,L,84,2,300,5,Sherman,9,92.3,29.2,16.3
2017-513,7/12/2017,M. rutilus,M,A,L,84,2,300,7,Sherman,23,114.5,36,17.7
2017-514,7/12/2017,M. rutilus,F,J,L,84,2,300,8,Sherman,15,79.6,28.9,16.3
2017-515,7/12/2017,S. monticolus,U,J,D,84,2,300,8,Victor,6.1,93.7,44.1,11.9
2017-516,7/12/2017,M. rutilus,F,A,D,84,2,300,9,Victor,25,104,8.9,14.7
2017-517,7/12/2017,M. rutilus,F,J,L,84,2,300,9,Sherman,8,90,25.4,15.1
2017-518,7/12/2017,M. rutilus,M,J,D,84,2,300,10,Sherman,17.4,104.1,31.9,14.8
2017-519,7/15/2017,S. cinereus,U,J,D,107,1,180,8,Sherman,2.9,87.1,40.5,11
2017-520,7/15/2017,S. cinereus,U,J,D,107,1,60,9,Sherman,3.2,75.9,39,11.9
2017-521,7/15/2017,M. rutilus,M,A,D,107,1,60,2,Victor,26.4,109.6,29.3,17.2
2017-522,7/15/2017,M. rutilus,M,A,L,107,1,60,3,Sherman,26,123.4,32.7,16.4
2017-523,7/15/2017,M. rutilus,M,A,L,107,1,60,4,Sherman,18,109.8,34.2,17.7
2017-524,7/15/2017,M. rutilus,M,SA,L,107,1,60,6,Sherman,17,105.5,26.5,17.7
2017-525,7/15/2017,M. rutilus,F,J,L,107,1,180,5,Sherman,13,95,27.6,16.5
2017-526,7/16/2017,M. rutilus,F,J,L,107,2,60,1,Sherman,12,99.9,30.5,16.4
2017-527,7/16/2017,S. cinereus,U,J,D,107,2,60,2,Victor,3.5,89.8,42.4,11.7
2017-528,7/16/2017,M. rutilus,M,SA,L,107,2,60,7,Sherman,14,111.6,33.9,17.8
2017-529,7/16/2017,S. cinereus,F,A,D,107,2,60,9,Victor,4.8,87.2,37.3,12.5
2017-530,7/16/2017,M. rutilus,F,A,L,107,2,60,9,Sherman,26,132.8,38.9,16.5
2017-531,7/16/2017,S. monticolus,U,A,D,107,2,180,1,Victor,6.1,96.9,43.1,12.1
2017-532,7/16/2017,S. cinereus,U,J,D,107,2,180,1,Sherman,2.7,77.2,38.1,11.6
2017-533,7/16/2017,M. rutilus,M,A,L,107,2,180,2,Sherman,17,105.3,31.8,18.7
2017-534,7/16/2017,S. cinereus,U,J,D,107,2,180,3,Victor,3.4,85.5,38.4,11.9
2017-535,7/16/2017,M. rutilus,M,J,D,107,2,180,5,Victor,14.1,93.6,22.1,18
2017-536,7/16/2017,M. rutilus,M,J,L,107,2,180,5,Sherman,13,90.9,30.6,18.2
2017-537,7/16/2017,S. monticolus,U,J,D,107,2,180,5,Pitfall,2.8,74.1,37.4,10.4
2017-538,7/16/2017,M. rutilus,M,J,D,107,2,180,6,Sherman,11.7,81.1,30.4,17.3
2017-539,7/16/2017,M. rutilus,M,SA,D,107,2,180,7,Victor,27.5,105.9,33.7,18
2017-540,7/16/2017,S. cinereus,U,J,D,107,2,180,7,Sherman,3.3,78.1,39.6,12.6
